Promo_ID;Promo_Name;Title_Series;Title;Partner_Name;Base_SRP;Discount;DSRP;Period_Start;Period_End;Duration;Publisher;Added_by
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;06.01.2021;13.01.2021;7;Prime;Oleg
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;15.01.2021;22.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;X;Microsoft;300;30%;90;12.01.2021;19.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;Y;Microsoft;300;30%;90;06.01.2021;13.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;10.01.2021;17.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;X;Microsoft;300;30%;90;09.01.2021;16.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;X;Microsoft;300;30%;90;07.01.2021;14.01.2021;7;Prime;Carles
100001;Winter Sale;Bounty;X;Microsoft;300;30%;90;14.01.2021;21.01.2021;7;Prime;Lorenzo
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;23.01.2021;30.01.2021;7;Prime;Lorenzo
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;15.01.2021;22.01.2021;7;Prime;Lorenzo
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;09.01.2021;16.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;B;Microsoft;300;30%;90;14.01.2021;21.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;Z;Microsoft;300;30%;90;14.01.2021;21.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;Z;Microsoft;300;30%;90;08.01.2021;15.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;Z;Microsoft;300;30%;90;06.01.2021;13.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;F;Microsoft;300;30%;90;13.01.2021;20.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;D;Microsoft;300;30%;90;14.01.2021;21.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;Y;Microsoft;300;30%;90;11.01.2021;18.01.2021;7;Prime;Anas
100001;Winter Sale;Bounty;X;Microsoft;300;30%;90;12.01.2021;19.01.2021;7;Prime;Anas
